CatID,Daily rainfall (mm),Daily distance moved (m)
54,6.7,2032.82
55,0.3,2164.05
55,3.8,1389.88
55,11.9,1583.28
55,11.1,1914.60
55,5.5,1165.56
55,6.7,1030.86
56,1.9,5883.98
56,4.8,5634.33
56,7.4,3276.58
56,10.8,3729.69
56,16,4332.13
57,1.9,4980.49
57,4.8,6399.28
57,7.4,3080.40
58,3.5,2340.78
58,2.5,1953.50
58,2.7,943.98
58,13.6,1435.36
58,8.1,1064.51
58,0,1212.51
59,0.3,7454.83
59,6.4,3692.59
59,4.5,6016.20
59,0.8,3778.65
59,0.4,4858.40
59,0,5563.25
60,0.3,4206.15
60,6.4,2324.51
60,4.5,3856.73
60,0.8,3483.22
60,0.4,2700.95
60,0,2618.47
61,6.6,2096.17
61,9.9,1861.00
61,20.5,1606.30
61,2.2,3557.04
61,0.7,4481.75
61,0,4775.08
62,11.1,1223.18
62,0,1256.14
62,0,1908.11
62,0.3,2249.07
62,2.2,1921.37
62,0.5,1730.22
63,0,1185.80
63,0,2613.46
63,0.3,799.20
63,2.2,1103.52
63,0.5,1101.24
63,0,935.30
64,0,2236.85
64,0,1635.60
64,0.3,2952.27
64,2.2,3363.36
64,0.5,1660.46
64,0,1476.36
65,0,1312.22
65,0,655.20
65,1.1,990.64
65,0.5,1130.73
65,0,561.82
65,0,970.92
66,0,1595.25
66,0,1306.73
66,1.1,1324.73
66,0.5,931.38
66,0,1160.90
66,0,1024.49
67,0,1015.84
67,0,1332.31
67,1.1,763.19
67,0.5,330.63
67,0,998.36
67,0,1305.49
68,1.5,1447.90
68,1.7,1628.66
68,0.1,922.92
68,0.4,997.31
68,3.5,488.07
69,1.5,1342.16
69,1.7,1226.41
69,0.1,1400.54
69,0.4,604.68
69,3.5,734.82
70,1.6,1462.89
70,3.5,715.83
70,0,1284.90
70,0,531.90
70,1.3,654.26
70,0,1064.33
71,2.8,3054.35
71,0,7422.37
71,0.9,5376.32
71,1.4,4159.40
71,0.5,5136.88
71,7,2331.03
72,0,4656.68
72,0,5035.67
72,1.3,4642.12
72,0,5710.03
72,2.8,5217.90
72,5.7,3545.19
73,0,2852.88
73,0,3034.41
73,0.8,4998.76
73,0,4950.85
73,4.8,3529.04
73,3,3107.93
74,0,657.20
74,1.2,621.29
74,0.1,366.04
74,2.3,470.43
74,5.1,615.25
74,0.3,662.86
75,2.2,4249.42
75,1.2,3047.88
75,8.1,3459.72
75,17.5,4168.83
75,2.2,1971.20
75,1,2203.63
76,2.2,2006.51
76,1.2,2296.48
76,8.1,2981.96
76,17.5,2368.59
76,2.2,2296.04
76,1,2360.42
77,1,3375.15
77,2.6,4781.81
77,0.1,3804.70
77,1,2851.70
77,0.4,6771.53
77,0.1,5407.80
78,0,4158.66
78,0.4,5250.97
78,0,9364.79
78,0,7762.60
78,0,8695.15
78,4.2,4040.01
79,0.8,1456.67
79,0.3,3339.61
79,0,1839.90
79,0,3448.97
79,0.8,1594.05
79,1.8,3269.57
80,0.8,3624.82
80,0.3,2869.43
80,0,3045.54
80,0,2119.67
80,0.8,2323.20
80,1.8,3566.29
81,0.7,2800.14
81,0.3,2130.91
81,0,3163.21
81,0,2090.56
81,1.4,2036.54
81,1.4,963.02
82,0.7,885.31
82,0.3,738.42
82,0,1060.46
82,0,711.60
82,1.4,959.38
82,1.4,362.51
83,0.7,1975.96
83,0.3,6955.12
83,0,4769.62
83,0,4823.15
83,1.4,3337.94
83,1.4,3570.51
84,0.7,715.76
84,0.3,3679.69
84,0,3323.00
84,0,2076.83
84,1.4,1948.18
84,1.4,1929.63
85,0.3,2032.09
85,0,2153.15
85,2.7,1297.76
85,2.1,1414.95
85,0,1067.80
85,1.1,1426.77
86,0.3,2510.03
86,0,3112.62
86,2.7,3520.96
86,2.1,2352.65
86,0,3546.69
86,1.1,3187.06
87,0.3,2237.14
87,0,3635.41
87,2.7,2398.68
87,2.1,3604.25
87,0,4215.43
87,1.1,2700.61
88,3.1,2136.85
88,0.9,2477.19
88,0.1,3359.32
88,1.2,3071.22
88,1.6,2727.10
88,0.2,3560.19
89,3.1,2345.22
89,0.9,1776.55
89,0.1,2480.52
89,1.2,2116.10
89,1.6,1254.61
89,0.2,1836.55
90,4.3,1364.99
90,7.8,2081.15
90,0,2000.89
90,1.5,1584.47
90,1.7,1514.19
90,0.3,1859.52
91,4.3,1915.88
91,7.8,1510.87
91,0,766.04
91,1.5,896.80
91,1.7,1597.89
91,0.3,1065.63
92,0.8,815.98
92,0.1,483.38
92,0.1,505.20
92,0.2,391.66
92,1.9,1087.05
92,0.7,664.38
93,0,6015.21
93,0,5453.72
93,0.4,3165.61
93,2.5,4707.36
93,0.8,2764.61
93,5.5,1840.19
94,2.2,6051.25
94,2.7,6555.96
94,0.7,6626.93
94,4.9,6348.91
94,2.7,7188.57
94,1.1,5843.12
95,2.2,3779.59
95,2.7,2517.98
95,0.7,4402.01
95,4.9,2045.80
95,2.7,3350.54
95,1.1,2027.65
96,2.2,1334.59
96,2.7,1927.64
96,0.7,1459.91
96,4.9,3600.57
96,2.7,1596.90
96,1.1,2660.15
97,1.9,1115.62
97,4.2,1112.95
97,2.4,526.94
97,5.8,1047.99
97,0.8,1046.47
97,0.3,1365.74
