sample_id,play_id,game_id,week,posteam,defteam,down,play_type,shotgun,formation,formation_playtype,yards_gained,epa,success
sample_10,1723,2022_05_CHI_MIN,5,CHI,MIN,1.0,pass,0,under_center,under_center_pass,39.0,2.447598984988872,1.0
sample_10,1154,2022_09_LV_JAX,9,LV,JAX,1.0,pass,0,under_center,under_center_pass,38.0,3.852605614927597,1.0
sample_10,2782,2022_02_SEA_SF,2,SEA,SF,2.0,run,0,under_center,under_center_run,0.0,-0.8324193586595356,0.0
sample_10,2830,2022_05_ATL_TB,5,TB,ATL,1.0,run,0,under_center,under_center_run,-2.0,-1.0421769605018198,0.0
sample_10,2530,2022_04_TEN_IND,4,TEN,IND,2.0,run,0,under_center,under_center_run,0.0,-0.7662755688652396,0.0
sample_10,3375,2022_17_IND_NYG,17,NYG,IND,1.0,run,0,under_center,under_center_run,0.0,-0.5597360179526731,0.0
sample_10,2325,2022_16_GB_MIA,16,MIA,GB,2.0,run,0,under_center,under_center_run,-1.0,-0.8579206131398678,0.0
sample_10,803,2022_15_ATL_NO,15,NO,ATL,2.0,run,0,under_center,under_center_run,-3.0,-1.5637061442248523,0.0
sample_10,1001,2022_18_NE_BUF,18,BUF,NE,1.0,run,0,under_center,under_center_run,-2.0,-0.7460779268294573,0.0
sample_10,1422,2022_05_IND_DEN,5,IND,DEN,1.0,run,0,under_center,under_center_run,0.0,-0.3952071846579201,0.0
sample_10,1227,2022_20_CIN_BUF,20,BUF,CIN,1.0,run,0,under_center,under_center_run,0.0,-0.4193298136233352,0.0
sample_10,447,2022_02_CHI_GB,2,CHI,GB,1.0,run,0,under_center,under_center_run,0.0,-0.8292374319862574,0.0
sample_10,867,2022_16_NYG_MIN,16,NYG,MIN,1.0,run,0,under_center,under_center_run,-1.0,-1.0653861220926046,0.0
sample_10,2581,2022_18_LAC_DEN,18,DEN,LAC,1.0,run,1,shotgun,shotgun_run,2.0,-0.519918225472793,0.0
sample_10,4005,2022_18_LA_SEA,18,SEA,LA,1.0,run,1,shotgun,shotgun_run,1.0,-0.4309812519350089,0.0
sample_10,3862,2022_03_NO_CAR,3,NO,CAR,1.0,pass,1,shotgun,shotgun_pass,48.0,3.2610159957548603,1.0
sample_10,3888,2022_03_KC_IND,3,KC,IND,2.0,pass,1,shotgun,shotgun_pass,24.0,0.9349890946759842,1.0
sample_10,2291,2022_01_PIT_CIN,1,CIN,PIT,2.0,pass,1,shotgun,shotgun_pass,24.0,2.597457373572979,1.0
sample_10,1445,2022_03_KC_IND,3,IND,KC,1.0,pass,1,shotgun,shotgun_pass,30.0,1.81768925616052,1.0
sample_10,1804,2022_09_BUF_NYJ,9,BUF,NYJ,1.0,pass,1,shotgun,shotgun_pass,17.0,0.6704524477827363,1.0
sample_10,1110,2022_14_CAR_SEA,14,SEA,CAR,1.0,pass,1,shotgun,shotgun_pass,17.0,1.0157941504148766,1.0
sample_10,3925,2022_03_SF_DEN,3,SF,DEN,2.0,pass,1,shotgun,shotgun_pass,16.0,-2.8472118566860445,0.0
sample_10,2936,2022_05_SF_CAR,5,SF,CAR,3.0,pass,1,shotgun,shotgun_pass,18.0,2.548711643088609,1.0
sample_10,1577,2022_10_WAS_PHI,10,WAS,PHI,3.0,pass,1,shotgun,shotgun_pass,23.0,2.332766583655029,1.0
sample_10,3731,2022_11_KC_LAC,11,KC,LAC,1.0,pass,1,shotgun,shotgun_pass,17.0,2.6641421765089035,1.0
sample_10,1966,2022_04_KC_TB,4,TB,KC,3.0,pass,1,shotgun,shotgun_pass,16.0,1.2635438120923936,1.0
sample_10,1793,2022_16_LV_PIT,16,PIT,LV,3.0,pass,1,shotgun,shotgun_pass,25.0,2.649115635547787,1.0
sample_10,4221,2022_01_PHI_DET,1,DET,PHI,3.0,pass,1,shotgun,shotgun_pass,22.0,3.380410900397692,1.0
sample_10,3625,2022_01_IND_HOU,1,IND,HOU,2.0,pass,1,shotgun,shotgun_pass,16.0,1.455098962644115,1.0
sample_10,2656,2022_02_WAS_DET,2,WAS,DET,2.0,pass,1,shotgun,shotgun_pass,20.0,2.862094952492044,1.0
