sample_id,play_id,game_id,week,posteam,defteam,down,play_type,shotgun,formation,formation_playtype,yards_gained,epa,success
sample_03,1445,2022_17_ARI_ATL,17,ATL,ARI,1.0,run,0,under_center,under_center_run,-2.0,-1.0353744605672546,0.0
sample_03,4036,2022_03_DET_MIN,3,DET,MIN,2.0,run,0,under_center,under_center_run,0.0,-0.5428386558778584,0.0
sample_03,2852,2022_22_KC_PHI,22,PHI,KC,3.0,run,0,under_center,under_center_run,0.0,-1.2225467368261889,0.0
sample_03,2800,2022_13_MIA_SF,13,SF,MIA,1.0,run,0,under_center,under_center_run,-4.0,-1.2192740314640105,0.0
sample_03,1440,2022_05_ATL_TB,5,TB,ATL,1.0,run,0,under_center,under_center_run,0.0,-0.4276273213326931,0.0
sample_03,2772,2022_09_SEA_ARI,9,SEA,ARI,2.0,run,0,under_center,under_center_run,0.0,-0.5005048720049672,0.0
sample_03,3492,2022_09_CAR_CIN,9,CIN,CAR,2.0,run,0,under_center,under_center_run,0.0,-0.6960013242787682,0.0
sample_03,441,2022_13_GB_CHI,13,GB,CHI,2.0,run,0,under_center,under_center_run,-7.0,-1.837341434555128,0.0
sample_03,172,2022_11_PHI_IND,11,IND,PHI,2.0,run,0,under_center,under_center_run,0.0,-0.4643358057364821,0.0
sample_03,2069,2022_01_NO_ATL,1,NO,ATL,2.0,run,1,shotgun,shotgun_run,1.0,-0.6784926131367683,0.0
sample_03,3014,2022_12_NYG_DAL,12,NYG,DAL,1.0,run,1,shotgun,shotgun_run,0.0,-0.557149825617671,0.0
sample_03,797,2022_05_SF_CAR,5,SF,CAR,3.0,pass,1,shotgun,shotgun_pass,30.0,2.9113798775943,1.0
sample_03,3250,2022_08_CAR_ATL,8,CAR,ATL,3.0,pass,1,shotgun,shotgun_pass,21.0,2.992410058272071,1.0
sample_03,2246,2022_08_NYG_SEA,8,NYG,SEA,3.0,pass,1,shotgun,shotgun_pass,18.0,3.009301937650889,1.0
sample_03,1476,2022_05_PIT_BUF,5,BUF,PIT,1.0,pass,1,shotgun,shotgun_pass,15.0,2.1460986976744607,1.0
sample_03,3367,2022_18_CLE_PIT,18,PIT,CLE,3.0,pass,1,shotgun,shotgun_pass,27.0,2.9644876566017047,1.0
sample_03,3274,2022_16_WAS_SF,16,WAS,SF,1.0,pass,1,shotgun,shotgun_pass,21.0,1.4919604954775425,1.0
sample_03,3731,2022_04_MIN_NO,4,NO,MIN,1.0,pass,1,shotgun,shotgun_pass,16.0,1.2099883833434433,1.0
sample_03,2639,2022_01_SF_CHI,1,CHI,SF,3.0,pass,1,shotgun,shotgun_pass,51.0,5.442163281142712,1.0
sample_03,633,2022_04_WAS_DAL,4,DAL,WAS,1.0,pass,1,shotgun,shotgun_pass,23.0,1.5968872003722936,1.0
sample_03,1790,2022_01_LV_LAC,1,LV,LAC,1.0,pass,1,shotgun,shotgun_pass,41.0,2.8934828811325133,1.0
sample_03,257,2022_21_CIN_KC,21,KC,CIN,2.0,pass,1,shotgun,shotgun_pass,16.0,1.5196974324062469,1.0
sample_03,1527,2022_06_BAL_NYG,6,BAL,NYG,2.0,pass,1,shotgun,shotgun_pass,16.0,1.6232447003712878,1.0
sample_03,1817,2022_20_CIN_BUF,20,BUF,CIN,1.0,pass,1,shotgun,shotgun_pass,25.0,1.4840557095594704,1.0
sample_03,2199,2022_16_GB_MIA,16,GB,MIA,1.0,pass,1,shotgun,shotgun_pass,31.0,2.073964736307971,1.0
sample_03,2970,2022_16_TB_ARI,16,ARI,TB,2.0,pass,1,shotgun,shotgun_pass,47.0,3.5046856733970344,1.0
sample_04,1968,2022_01_IND_HOU,1,HOU,IND,1.0,pass,0,under_center,under_center_pass,42.0,2.5313639764208347,1.0
sample_04,2256,2022_06_DAL_PHI,6,DAL,PHI,1.0,pass,0,under_center,under_center_pass,22.0,1.4555493138032034,1.0
sample_04,853,2022_02_MIA_BAL,2,BAL,MIA,4.0,run,0,under_center,under_center_run,0.0,-4.200648027763236,0.0
sample_04,2367,2022_17_NYJ_SEA,17,SEA,NYJ,3.0,run,0,under_center,under_center_run,0.0,-1.2155930027365685,0.0
sample_04,3953,2022_03_JAX_LAC,3,LAC,JAX,3.0,run,0,under_center,under_center_run,-3.0,-1.9146626250003465,0.0
sample_04,1378,2022_10_IND_LV,10,LV,IND,4.0,run,0,under_center,under_center_run,-3.0,-3.379740544827655,0.0
sample_04,887,2022_18_KC_LV,18,LV,KC,1.0,run,0,under_center,under_center_run,-1.0,-0.8392800274305046,0.0
sample_04,3083,2022_14_MIA_LAC,14,MIA,LAC,1.0,run,0,under_center,under_center_run,0.0,-0.5532696682494134,0.0
sample_04,1230,2022_15_KC_HOU,15,KC,HOU,1.0,run,0,under_center,under_center_run,0.0,-5.835539028164931,0.0
sample_04,1501,2022_14_CLE_CIN,14,CLE,CIN,2.0,run,0,under_center,under_center_run,0.0,-0.556432540062815,0.0
sample_04,196,2022_09_MIA_CHI,9,CHI,MIA,1.0,run,0,under_center,under_center_run,0.0,-0.4731362037127837,0.0
sample_04,1114,2022_03_LV_TEN,3,TEN,LV,1.0,run,0,under_center,under_center_run,0.0,-0.5056966794654727,0.0
sample_04,2214,2022_14_LV_LA,14,LV,LA,2.0,run,0,under_center,under_center_run,0.0,-0.7500565508380532,0.0
sample_04,744,2022_12_TB_CLE,12,TB,CLE,1.0,run,1,shotgun,shotgun_run,2.0,-0.5056392860133201,0.0
sample_04,895,2022_08_CIN_CLE,8,CLE,CIN,1.0,run,1,shotgun,shotgun_run,-1.0,-0.9736424870789052,0.0
sample_04,87,2022_18_ARI_SF,18,ARI,SF,2.0,pass,1,shotgun,shotgun_pass,77.0,7.005431700032204,1.0
sample_04,3114,2022_19_DAL_TB,19,TB,DAL,1.0,pass,1,shotgun,shotgun_pass,30.0,2.974135271157138,1.0
sample_04,3645,2022_09_CAR_CIN,9,CAR,CIN,2.0,pass,1,shotgun,shotgun_pass,16.0,1.012416685698554,1.0
sample_04,238,2022_07_CHI_NE,7,CHI,NE,3.0,pass,1,shotgun,shotgun_pass,20.0,2.3949298365041614,1.0
sample_04,3600,2022_10_ATL_CAR,10,ATL,CAR,1.0,pass,1,shotgun,shotgun_pass,25.0,3.0368440143647604,1.0
sample_04,3091,2022_15_DAL_JAX,15,JAX,DAL,2.0,pass,1,shotgun,shotgun_pass,27.0,1.9289178770268336,1.0
