sample_id,play_id,game_id,week,posteam,defteam,down,play_type,shotgun,formation,formation_playtype,yards_gained,epa,success
sample_08,2712,2022_07_DET_DAL,7,DAL,DET,1.0,pass,0,under_center,under_center_pass,19.0,1.3285401633474976,1.0
sample_08,598,2022_12_DEN_CAR,12,CAR,DEN,2.0,pass,0,under_center,under_center_pass,26.0,2.1057030089432374,1.0
sample_08,545,2022_04_CLE_ATL,4,ATL,CLE,2.0,run,0,under_center,under_center_run,-1.0,-0.8247899666894227,0.0
sample_08,655,2022_10_IND_LV,10,IND,LV,2.0,run,0,under_center,under_center_run,-1.0,-1.1786778485402465,0.0
sample_08,2687,2022_05_NYG_GB,5,NYG,GB,1.0,run,0,under_center,under_center_run,-1.0,-0.787164679961279,0.0
sample_08,1739,2022_06_MIN_MIA,6,MIA,MIN,2.0,run,0,under_center,under_center_run,0.0,-0.8508718790253624,0.0
sample_08,3095,2022_20_JAX_KC,20,KC,JAX,1.0,run,0,under_center,under_center_run,-3.0,-1.039708657131996,0.0
sample_08,250,2022_15_NYG_WAS,15,WAS,NYG,1.0,run,0,under_center,under_center_run,-3.0,-1.1348890290828422,0.0
sample_08,3344,2022_10_HOU_NYG,10,NYG,HOU,2.0,run,0,under_center,under_center_run,-1.0,-0.9471987725701184,0.0
sample_08,1714,2022_17_CLE_WAS,17,WAS,CLE,1.0,run,0,under_center,under_center_run,-2.0,-1.0309677673503757,0.0
sample_08,160,2022_19_DAL_TB,19,TB,DAL,1.0,run,0,under_center,under_center_run,-2.0,-0.8807052345946431,0.0
sample_08,764,2022_01_PIT_CIN,1,PIT,CIN,2.0,run,0,under_center,under_center_run,-1.0,-1.1910661499132402,0.0
sample_08,3141,2022_06_CIN_NO,6,NO,CIN,2.0,run,0,under_center,under_center_run,0.0,-0.6416034729918465,0.0
sample_08,1764,2022_03_HOU_CHI,3,CHI,HOU,1.0,run,1,shotgun,shotgun_run,2.0,-0.4635322896647267,0.0
sample_08,678,2022_20_DAL_SF,20,SF,DAL,2.0,run,1,shotgun,shotgun_run,0.0,-0.8375422697281465,0.0
sample_08,3357,2022_01_JAX_WAS,1,JAX,WAS,2.0,pass,1,shotgun,shotgun_pass,17.0,1.3601852364372462,1.0
sample_08,1678,2022_16_JAX_NYJ,16,JAX,NYJ,3.0,pass,1,shotgun,shotgun_pass,22.0,1.5957884751842355,1.0
sample_08,3920,2022_03_BUF_MIA,3,BUF,MIA,2.0,pass,1,shotgun,shotgun_pass,18.0,0.6066162854549475,1.0
sample_08,337,2022_11_LV_DEN,11,DEN,LV,1.0,pass,1,shotgun,shotgun_pass,15.0,0.8731896139215678,1.0
sample_08,2532,2022_08_DEN_JAX,8,DEN,JAX,2.0,pass,1,shotgun,shotgun_pass,22.0,2.0309861032292247,1.0
sample_08,2137,2022_14_NE_ARI,14,NE,ARI,2.0,pass,1,shotgun,shotgun_pass,30.0,1.591193553933408,1.0
sample_08,3293,2022_14_HOU_DAL,14,HOU,DAL,1.0,pass,1,shotgun,shotgun_pass,18.0,1.0425317160552368,1.0
sample_08,4012,2022_13_NYJ_MIN,13,NYJ,MIN,4.0,pass,1,shotgun,shotgun_pass,31.0,4.669663810229395,1.0
sample_08,2722,2022_16_BUF_CHI,16,CHI,BUF,1.0,pass,1,shotgun,shotgun_pass,44.0,2.8384395422181115,1.0
sample_08,2268,2022_15_DAL_JAX,15,DAL,JAX,3.0,pass,1,shotgun,shotgun_pass,39.0,3.899609505198896,1.0
sample_08,4160,2022_10_DEN_TEN,10,DEN,TEN,1.0,pass,1,shotgun,shotgun_pass,17.0,0.8190544894896448,1.0
sample_08,2947,2022_02_IND_JAX,2,IND,JAX,1.0,pass,1,shotgun,shotgun_pass,17.0,1.1181458835490048,1.0
sample_08,3390,2022_17_CAR_TB,17,TB,CAR,2.0,pass,1,shotgun,shotgun_pass,21.0,1.8774102167226372,1.0
sample_08,986,2022_18_DET_GB,18,GB,DET,3.0,pass,1,shotgun,shotgun_pass,20.0,2.205132536473684,1.0
sample_08,1410,2022_04_LAC_HOU,4,LAC,HOU,1.0,pass,1,shotgun,shotgun_pass,16.0,1.0716037399542984,1.0
